Province,City,Monitoring_Station,Latitude,Longitude,Date,Water_Temperature_C,pH,Dissolved_Oxygen_mg_L,Conductivity_uS_cm,Turbidity_NTU,Nitrate_mg_L,Nitrite_mg_L,Ammonia_N_mg_L,Total_Phosphorus_mg_L,Total_Nitrogen_mg_L,COD_mg_L,BOD_mg_L,Heavy_Metals_Pb_ug_L,Heavy_Metals_Cd_ug_L,Heavy_Metals_Hg_ug_L,Coliform_Count_CFU_100mL,Water_Quality_Index,Pollution_Level,Remarks
Shanghai,Shanghai,Shanghai_Station_10,35.820851,114.27994,2023-08-23,27.98,6.73,6.0,375.78,0.14,2.53,0.023,0.47,0.068,2.64,21.55,1.12,3.89,0.36,0.05,129,21.34,Excellent,Monitoring recommended
Jiangsu,Nanjing,Nanjing_Station_10,24.222512,109.217412,2023-10-29,30.03,7.21,9.86,582.47,0.19,2.68,0.015,0.54,0.141,2.93,17.17,4.12,4.59,0.29,-0.02,97,71.32,Moderate,Requires attention
Sichuan,Mianyang,Mianyang_Station_8,29.24892,113.172699,2023-03-17,23.88,5.94,5.98,364.55,4.76,2.9,0.019,0.77,0.114,2.77,5.46,2.89,6.36,0.81,0.03,113,50.72,Moderate,
Hubei,Wuhan,Wuhan_Station_6,20.028884,120.817676,2023-10-04,17.87,7.16,9.03,558.9,10.0,1.74,0.023,-0.06,0.142,3.45,17.47,3.29,4.88,0.32,0.06,114,56.04,Good,Requires attention
Henan,Zhengzhou,Zhengzhou_Station_8,38.040559,117.766683,2023-04-18,30.95,7.05,8.67,657.89,13.93,2.25,0.022,0.71,0.086,2.83,25.89,3.54,3.11,0.35,0.14,99,60.39,Excellent,
Yunnan,Kunming,Kunming_Station_10,44.123416,118.961105,2023-10-29,20.94,7.25,8.79,638.43,8.97,1.58,0.013,0.54,0.123,2.81,30.08,4.94,0.83,0.48,0.05,99,63.47,Moderate,Requires attention
Beijing,Beijing,Beijing_Station_5,29.472545,118.835564,2023-08-04,20.61,7.18,8.29,599.74,4.93,1.08,0.034,0.54,0.17,2.84,14.69,2.75,7.12,0.66,0.07,101,53.96,Moderate,
Jiangsu,Nanjing,Nanjing_Station_7,30.892639,109.841615,2023-08-02,21.25,5.39,9.59,611.82,14.97,1.78,0.018,0.37,0.106,2.12,21.58,3.9,6.68,0.44,0.13,97,20.13,Poor,Requires attention
Shandong,Jinan,Jinan_Station_2,38.746885,105.417661,2023-07-29,10.68,7.66,7.08,533.86,2.87,1.62,0.036,0.53,0.085,2.85,20.01,4.72,5.39,0.54,0.05,107,2.26,Poor,
Jiangsu,Suzhou,Suzhou_Station_7,44.582809,110.392216,2023-10-24,27.25,6.91,8.6,469.85,5.34,2.1,-0.001,0.97,0.1,2.79,19.71,3.6,3.36,0.62,0.09,97,24.56,Good,Monitoring recommended
Yunnan,Dali,Dali_Station_3,43.63801,122.805271,2023-02-07,21.41,6.51,10.84,461.43,0.16,1.74,0.022,0.38,0.076,3.05,17.47,2.94,1.56,0.57,0.07,103,17.16,Very Poor,
Beijing,Beijing,Beijing_Station_8,35.33695,102.463484,2023-04-13,26.91,7.23,9.34,394.89,22.59,1.91,0.016,0.65,0.092,3.61,17.94,3.43,5.03,0.69,0.11,83,82.43,Very Poor,
Zhejiang,Ningbo,Ningbo_Station_5,44.172591,102.750036,2023-02-01,24.81,6.47,10.08,606.89,9.63,2.22,0.021,0.61,0.098,3.28,24.59,2.74,7.19,0.49,0.17,88,33.87,Excellent,
Jiangsu,Nanjing,Nanjing_Station_3,22.421465,104.788079,2023-11-03,14.63,7.51,10.71,500.03,0.85,2.42,0.021,0.59,0.065,2.99,17.05,4.28,7.78,0.49,0.03,117,72.15,Very Poor,Monitoring recommended
Jiangsu,Nanjing,Nanjing_Station_2,38.726886,108.608327,2023-09-14,14.75,6.72,8.45,333.38,1.64,2.91,0.024,0.35,0.126,3.4,25.8,2.77,8.11,0.54,0.19,120,72.56,Very Poor,High pollution spike detected
Guangdong,Shenzhen,Shenzhen_Station_4,32.885985,102.008258,2023-11-12,23.29,6.2,7.43,393.56,0.17,2.54,0.016,0.72,0.08,3.07,30.75,4.12,4.85,0.53,0.08,103,24.03,Poor,
Shandong,Qingdao,Qingdao_Station_4,43.705355,111.669253,2023-09-22,25.17,6.9,6.18,345.0,0.09,1.92,0.024,0.66,0.09,4.29,25.2,3.99,2.36,0.52,0.14,92,33.63,Moderate,Requires attention
Henan,Luoyang,Luoyang_Station_1,39.775977,103.305317,2023-12-18,17.27,7.04,9.02,739.06,7.65,0.86,0.024,0.11,0.123,4.29,26.8,4.26,3.68,0.75,0.13,84,65.01,Poor,High pollution spike detected
Shanghai,Shanghai,Shanghai_Station_9,33.778213,123.180876,2023-03-03,22.02,6.59,7.66,454.1,9.38,2.32,0.032,0.58,0.135,3.2,20.08,4.84,8.22,0.67,0.09,94,19.67,Moderate,High pollution spike detected
Beijing,Beijing,Beijing_Station_9,40.865576,113.327198,2023-08-26,18.37,6.65,8.97,604.21,0.93,2.01,0.035,0.05,0.11,2.8,24.05,3.72,3.85,0.69,0.16,90,66.09,Excellent,Monitoring recommended
Shandong,Jinan,Jinan_Station_6,37.497473,105.439265,2023-12-03,14.54,7.72,8.71,363.65,0.03,1.67,0.036,0.62,0.063,2.95,20.42,3.89,4.42,0.75,0.13,101,79.99,Moderate,Requires attention
Henan,Luoyang,Luoyang_Station_4,27.058632,116.560011,2023-01-10,31.74,7.3,10.09,504.44,1.34,1.7,0.016,0.43,0.162,3.1,7.71,4.09,3.05,0.41,0.16,96,92.31,Good,High pollution spike detected
Guangdong,Guangzhou,Guangzhou_Station_3,40.694797,122.154203,2023-05-15,19.63,6.69,9.01,469.91,0.5,1.16,0.004,0.45,0.116,2.54,21.81,4.11,6.08,0.29,0.2,95,60.4,Poor,Monitoring recommended
Hubei,Yichang,Yichang_Station_1,20.442346,120.739125,2023-09-22,19.34,7.21,7.63,553.88,2.39,2.89,0.017,0.47,0.19,2.75,20.12,2.97,2.38,0.88,0.2,106,23.52,Moderate,Requires attention
Sichuan,Chengdu,Chengdu_Station_10,42.89777,111.941951,2023-04-06,17.23,7.15,8.41,674.42,2.87,2.28,0.007,0.43,0.153,3.07,11.51,2.79,8.71,0.51,0.15,72,45.06,Excellent,
Sichuan,Mianyang,Mianyang_Station_1,28.654561,101.70654,2023-06-29,14.98,7.35,7.24,502.57,10.81,1.7,0.026,0.46,0.123,3.46,22.8,4.33,5.38,0.39,0.05,104,53.46,Very Poor,Monitoring recommended
Zhejiang,Ningbo,Ningbo_Station_7,44.366879,124.012114,2023-03-20,19.5,7.24,9.56,397.45,12.13,2.06,0.011,0.28,0.147,3.85,22.75,3.83,7.45,0.33,0.15,91,35.89,Very Poor,
Sichuan,Chengdu,Chengdu_Station_10,42.425885,122.142836,2023-10-31,26.45,7.66,7.61,460.72,4.21,1.6,0.003,0.36,0.078,3.25,8.55,4.65,3.98,0.43,0.15,96,29.51,Excellent,High pollution spike detected
Shandong,Jinan,Jinan_Station_8,23.639415,111.173469,2023-01-22,18.32,6.74,6.91,486.23,3.26,2.05,0.037,0.48,0.062,2.86,20.64,3.83,3.87,0.17,0.13,106,13.21,Good,Requires attention
Sichuan,Mianyang,Mianyang_Station_6,34.382178,116.586261,2023-03-20,23.42,6.37,6.79,440.73,5.74,2.27,0.028,0.63,0.112,2.1,13.95,2.64,4.24,0.51,0.04,118,4.34,Excellent,
Yunnan,Kunming,Kunming_Station_10,32.032986,117.524055,2023-02-10,14.81,7.51,6.43,386.01,6.43,2.17,0.032,0.26,0.045,2.88,20.34,3.36,8.94,0.61,0.06,100,69.87,Good,
Shandong,Qingdao,Qingdao_Station_8,20.944735,102.641328,2023-10-22,17.61,7.02,10.6,641.11,0.78,2.51,0.002,0.51,0.049,2.32,28.47,4.89,3.79,0.47,0.08,74,35.34,Very Poor,Monitoring recommended
Sichuan,Chengdu,Chengdu_Station_4,40.870127,107.318114,2023-10-29,16.88,6.59,7.22,536.94,7.58,1.41,0.032,0.07,0.189,3.5,20.91,3.55,4.26,0.54,0.11,101,13.56,Good,Monitoring recommended
Guangdong,Shenzhen,Shenzhen_Station_3,21.817059,105.903275,2023-05-08,19.58,6.98,7.93,629.78,5.13,1.12,0.01,0.64,0.064,2.5,26.98,4.17,3.8,-0.05,0.13,111,38.45,Good,High pollution spike detected
Henan,Luoyang,Luoyang_Station_1,34.622519,104.466768,2023-04-30,21.81,6.81,6.3,515.92,5.23,2.65,0.017,0.54,0.138,3.78,21.84,6.59,4.82,0.56,0.07,104,70.07,Very Poor,Requires attention
Zhejiang,Ningbo,Ningbo_Station_2,38.197887,107.055031,2023-02-14,20.81,6.87,6.9,433.27,2.51,1.43,0.008,0.39,0.058,2.99,18.04,4.52,5.77,0.44,0.16,107,5.56,Poor,
Beijing,Beijing,Beijing_Station_8,40.710107,108.358564,2023-09-12,25.68,7.67,8.95,623.29,0.85,2.18,0.03,0.62,0.133,2.78,18.95,3.75,1.8,0.76,0.04,87,91.46,Good,
Shanghai,Shanghai,Shanghai_Station_2,25.168847,113.199422,2023-08-10,26.75,6.52,8.9,417.05,0.11,2.23,0.012,0.68,0.168,4.01,18.69,4.19,5.5,0.63,0.19,86,82.03,Very Poor,
Shandong,Qingdao,Qingdao_Station_6,29.417953,120.741299,2023-10-06,22.32,7.62,7.16,494.56,1.98,1.76,-0.007,0.04,0.116,2.36,20.27,2.51,5.61,0.61,0.11,109,29.69,Good,Monitoring recommended
Beijing,Beijing,Beijing_Station_2,22.427407,100.324842,2023-06-03,19.12,6.82,8.0,409.47,6.16,1.37,0.01,0.44,0.06,3.47,12.92,3.88,7.02,0.37,0.12,115,19.21,Very Poor,High pollution spike detected
Henan,Luoyang,Luoyang_Station_10,35.536154,116.533618,2023-02-02,18.4,6.67,8.54,502.91,7.88,2.6,0.001,0.73,0.122,3.24,28.07,5.18,6.63,0.44,0.08,106,40.93,Moderate,High pollution spike detected
Yunnan,Kunming,Kunming_Station_1,43.045726,110.704588,2023-06-07,10.88,6.37,7.65,535.37,3.18,2.05,0.006,0.41,0.14,3.03,19.47,3.27,3.9,0.82,0.14,97,90.87,Poor,High pollution spike detected
Guangdong,Shenzhen,Shenzhen_Station_2,40.443649,111.24597,2023-09-05,15.38,7.47,7.04,499.68,2.07,3.03,0.047,0.63,0.066,3.34,11.51,3.47,1.75,0.61,0.04,98,2.82,Good,High pollution spike detected
Beijing,Beijing,Beijing_Station_4,36.113789,107.953712,2023-08-09,13.3,6.94,4.55,659.96,5.31,2.02,0.026,0.64,0.139,2.2,15.41,4.14,5.96,0.75,0.07,94,54.4,Poor,Requires attention
Shanghai,Shanghai,Shanghai_Station_3,24.881983,102.018753,2023-02-15,26.26,7.13,10.67,481.76,1.86,1.31,0.024,0.7,0.084,3.31,17.19,4.3,4.04,0.66,0.04,106,47.49,Very Poor,Requires attention
Hubei,Yichang,Yichang_Station_3,31.032627,104.805688,2023-07-30,22.91,6.94,6.04,444.37,2.28,2.61,0.031,0.42,0.01,3.15,20.91,3.33,1.09,0.45,0.14,99,80.22,Very Poor,Requires attention
Shandong,Qingdao,Qingdao_Station_5,27.743975,114.581184,2023-07-18,16.11,6.43,9.37,475.61,34.22,1.96,0.035,0.82,0.034,2.78,32.17,3.31,8.24,0.7,0.16,90,72.85,Poor,
Guangdong,Shenzhen,Shenzhen_Station_10,37.226626,113.20726,2023-10-06,19.22,6.2,8.96,348.29,6.38,2.5,0.004,0.3,0.159,3.06,14.8,4.63,3.93,1.01,0.13,107,84.18,Poor,
Shandong,Jinan,Jinan_Station_4,20.350451,106.230938,2023-12-15,19.99,7.31,8.31,660.19,0.36,1.69,0.017,0.22,0.144,2.43,23.04,3.7,5.45,0.41,0.11,91,12.2,Excellent,Requires attention
Zhejiang,Hangzhou,Hangzhou_Station_7,25.491427,111.67508,2023-07-12,20.77,6.4,6.21,427.13,4.29,1.51,0.017,0.04,0.135,2.76,21.44,2.94,9.03,0.22,0.08,95,94.76,Moderate,High pollution spike detected
Guangdong,Guangzhou,Guangzhou_Station_10,31.181917,117.742479,2023-11-11,9.95,7.64,8.45,488.06,5.73,1.59,0.038,0.6,0.139,3.36,12.18,3.89,4.97,0.45,0.11,100,34.21,Excellent,High pollution spike detected
Hubei,Yichang,Yichang_Station_9,44.901492,109.591743,2023-01-13,20.7,7.0,5.53,464.35,4.75,1.81,0.017,0.13,0.013,3.27,16.98,3.61,5.15,0.15,0.08,107,13.24,Poor,
Beijing,Beijing,Beijing_Station_1,26.258255,103.470789,2023-06-08,21.51,6.73,6.92,460.9,3.46,1.68,0.029,0.66,0.074,3.17,14.81,3.82,4.14,0.69,0.12,92,1.12,Excellent,High pollution spike detected
Jiangsu,Suzhou,Suzhou_Station_3,38.085351,117.527189,2023-01-15,24.38,6.9,7.18,367.79,7.58,2.15,0.044,0.33,0.11,3.12,19.94,4.04,3.24,0.57,0.01,102,85.22,Good,
Shandong,Qingdao,Qingdao_Station_2,23.624625,104.999444,2023-11-28,21.8,5.79,9.53,442.07,1.54,1.98,0.02,0.2,0.103,2.43,20.31,5.94,2.22,0.47,0.07,94,60.45,Excellent,Requires attention
Guangdong,Shenzhen,Shenzhen_Station_1,44.080619,112.450016,2023-05-11,28.89,7.6,7.01,421.28,1.18,0.98,0.041,0.72,0.067,3.14,18.0,4.95,4.32,0.46,0.07,104,15.44,Moderate,Requires attention
Hubei,Yichang,Yichang_Station_9,30.258677,111.387783,2023-11-10,14.73,6.93,6.6,413.83,3.58,1.73,-0.0,0.4,0.053,3.31,16.32,3.63,0.7,0.7,0.05,112,24.22,Moderate,Requires attention
Shandong,Qingdao,Qingdao_Station_5,23.984527,108.681366,2023-01-02,14.97,7.3,6.52,525.51,4.84,1.49,0.02,0.36,0.201,2.69,14.04,3.1,4.97,0.52,0.12,85,32.26,Good,High pollution spike detected
Henan,Zhengzhou,Zhengzhou_Station_6,33.759765,110.276764,2023-12-08,12.21,7.34,9.83,595.65,4.02,1.6,0.012,0.3,0.083,3.63,14.43,3.51,6.95,0.62,0.08,114,2.69,Poor,Requires attention
Henan,Luoyang,Luoyang_Station_1,28.289031,121.831261,2023-12-08,25.03,7.35,8.1,473.94,4.44,2.69,0.013,0.86,0.063,2.17,20.56,5.48,6.33,0.49,0.11,85,13.39,Very Poor,High pollution spike detected
Sichuan,Chengdu,Chengdu_Station_2,37.755098,117.204566,2023-09-20,13.17,7.0,8.47,399.59,3.53,1.45,0.031,0.44,0.097,2.34,29.4,4.22,6.32,0.2,0.07,116,32.69,Moderate,
Shanghai,Shanghai,Shanghai_Station_1,36.127188,109.043972,2023-01-10,20.82,7.24,5.14,515.77,8.96,1.67,0.012,0.41,0.081,3.06,22.64,4.44,5.26,0.54,0.23,99,45.44,Very Poor,High pollution spike detected
Sichuan,Mianyang,Mianyang_Station_6,21.04657,123.348532,2023-12-02,14.96,6.53,6.64,387.29,2.18,2.06,0.027,0.35,-0.001,3.06,22.35,4.67,2.96,0.38,0.04,91,0.47,Very Poor,
Yunnan,Kunming,Kunming_Station_7,28.414573,124.918305,2023-10-05,18.19,7.34,8.35,502.0,0.78,1.93,0.011,0.15,0.127,2.67,11.33,4.56,4.5,0.59,0.12,106,45.6,Moderate,High pollution spike detected
Zhejiang,Hangzhou,Hangzhou_Station_4,27.934397,111.87874,2023-06-03,16.02,6.77,9.28,332.51,8.74,1.3,0.007,0.93,0.076,2.6,25.78,2.22,7.77,0.34,0.13,92,88.94,Good,High pollution spike detected
Guangdong,Guangzhou,Guangzhou_Station_3,44.677348,115.922553,2023-02-17,22.41,7.04,7.81,405.32,2.72,2.62,0.024,0.59,0.147,3.23,20.74,5.12,4.22,0.5,0.14,107,15.89,Poor,Monitoring recommended
Yunnan,Kunming,Kunming_Station_10,33.048137,106.301911,2023-05-13,13.48,7.19,10.13,487.9,0.45,2.04,0.016,0.33,0.011,2.6,19.1,3.63,2.16,0.5,0.05,107,76.08,Moderate,
Henan,Zhengzhou,Zhengzhou_Station_3,28.965187,122.412233,2023-11-22,13.54,6.92,12.25,449.56,4.69,2.5,0.012,0.25,0.082,4.24,14.12,4.82,4.81,0.69,0.04,86,74.1,Good,Monitoring recommended
Jiangsu,Nanjing,Nanjing_Station_9,26.086739,107.045731,2023-12-27,22.29,6.3,12.05,526.85,0.6,1.99,0.02,0.45,0.085,2.99,27.2,4.53,4.74,0.28,0.08,93,49.87,Moderate,Monitoring recommended
Henan,Zhengzhou,Zhengzhou_Station_5,39.370214,123.694488,2023-12-22,20.72,6.07,10.24,568.43,6.19,1.86,0.018,0.22,0.11,3.03,15.72,5.15,3.45,1.07,0.12,106,48.34,Good,
Shanghai,Shanghai,Shanghai_Station_10,42.314014,124.908165,2023-03-09,13.08,6.6,7.71,535.4,0.33,2.11,0.018,0.78,0.122,3.24,22.31,2.71,5.4,0.55,0.04,96,49.85,Excellent,High pollution spike detected
Beijing,Beijing,Beijing_Station_8,40.414559,109.43323,2023-06-12,17.97,7.04,9.09,389.81,3.95,2.89,0.007,0.45,0.055,3.37,27.08,2.68,4.87,0.37,0.14,110,37.27,Good,Monitoring recommended
Guangdong,Guangzhou,Guangzhou_Station_6,39.663514,120.803236,2023-10-31,14.48,8.23,7.02,713.33,5.17,2.43,0.015,0.29,0.161,2.98,26.42,4.75,5.82,0.61,0.15,88,34.5,Very Poor,Requires attention
Shanghai,Shanghai,Shanghai_Station_6,34.13632,121.072781,2023-01-17,23.94,6.61,7.09,507.21,3.91,1.69,0.028,0.45,0.118,2.86,25.87,4.15,7.86,0.78,0.1,98,10.07,Good,
Shandong,Jinan,Jinan_Station_3,27.566337,107.562215,2023-10-24,27.02,7.47,7.6,528.67,4.63,1.01,0.009,0.6,0.134,3.56,17.98,4.21,3.6,0.77,0.06,98,53.08,Excellent,High pollution spike detected
Yunnan,Kunming,Kunming_Station_2,37.823344,118.598278,2023-02-17,19.43,7.04,10.45,719.39,4.71,2.26,0.022,0.37,0.134,2.97,20.29,4.89,5.57,0.5,0.17,94,96.87,Very Poor,Monitoring recommended
Shanghai,Shanghai,Shanghai_Station_2,21.616241,103.850951,2023-06-14,21.79,6.33,6.45,603.49,21.26,3.84,0.022,0.53,0.036,2.28,11.08,5.37,7.42,0.5,0.04,109,16.58,Excellent,
Hubei,Wuhan,Wuhan_Station_6,44.483381,111.471304,2023-05-11,14.85,6.67,7.39,407.07,3.89,2.08,0.013,0.39,0.138,2.35,20.9,4.48,6.16,0.64,0.13,91,35.53,Very Poor,Monitoring recommended
Hubei,Yichang,Yichang_Station_2,39.23302,119.059675,2023-07-10,16.0,7.18,7.62,398.31,1.72,1.94,0.034,0.86,0.094,2.31,13.47,4.77,6.42,0.38,0.04,94,82.81,Excellent,Monitoring recommended
Zhejiang,Ningbo,Ningbo_Station_8,24.783504,123.267672,2023-05-17,21.37,6.33,8.2,269.62,4.85,1.98,0.02,0.54,0.064,2.44,18.23,4.15,3.0,0.23,0.08,104,49.41,Excellent,
Guangdong,Shenzhen,Shenzhen_Station_9,30.575781,107.434881,2023-10-24,5.77,6.47,6.77,564.43,11.73,1.69,0.031,0.39,0.059,3.33,10.35,3.71,3.96,0.44,0.08,111,22.73,Excellent,Monitoring recommended
Beijing,Beijing,Beijing_Station_9,21.089129,117.140612,2023-03-15,21.33,7.16,9.25,545.66,4.83,0.83,0.02,0.56,0.026,3.11,24.57,3.78,6.31,0.7,0.17,105,22.17,Very Poor,Monitoring recommended
Henan,Zhengzhou,Zhengzhou_Station_3,34.20589,120.951991,2023-04-28,19.78,6.7,4.22,398.92,7.62,2.2,0.022,0.75,-0.001,3.18,21.68,3.14,6.92,0.22,0.15,99,91.36,Very Poor,Requires attention
Hubei,Wuhan,Wuhan_Station_1,24.089768,104.763172,2023-03-06,22.15,6.26,10.8,380.57,4.16,2.35,0.013,0.29,0.079,4.09,20.24,4.09,7.76,0.27,0.13,111,47.14,Excellent,Requires attention
Zhejiang,Ningbo,Ningbo_Station_6,29.235044,100.775899,2023-11-17,19.02,7.38,9.44,382.0,4.26,1.39,0.007,0.19,0.062,3.47,26.58,1.92,2.59,0.22,0.06,83,32.12,Very Poor,
Shanghai,Shanghai,Shanghai_Station_4,42.064099,101.805879,2023-07-29,27.55,7.13,9.17,486.28,8.78,2.7,0.037,0.58,0.067,3.09,32.64,3.47,8.67,0.01,0.13,111,1.38,Moderate,
Guangdong,Guangzhou,Guangzhou_Station_10,23.316171,119.610416,2023-10-15,18.79,7.22,7.69,519.65,2.9,2.37,0.033,0.85,0.059,2.14,21.88,2.84,6.14,0.06,0.15,94,64.53,Poor,Monitoring recommended
Sichuan,Chengdu,Chengdu_Station_5,23.5113,102.670939,2023-05-28,19.12,7.91,7.21,490.86,2.22,1.82,0.031,0.15,0.085,2.89,19.45,3.02,9.28,0.7,0.21,110,77.15,Good,
Zhejiang,Hangzhou,Hangzhou_Station_2,29.998986,102.467278,2023-02-13,8.91,6.99,7.48,386.7,4.76,1.63,0.048,0.63,-0.032,3.51,14.88,3.43,10.1,0.83,0.2,94,89.68,Very Poor,Monitoring recommended
Yunnan,Kunming,Kunming_Station_8,21.757867,106.733711,2023-08-26,28.05,7.41,11.21,477.45,4.39,1.61,0.016,0.55,0.077,3.52,25.34,3.76,6.32,0.91,0.15,124,76.4,Poor,Requires attention
Sichuan,Chengdu,Chengdu_Station_7,26.9959,115.840967,2023-03-07,25.65,7.24,8.3,430.25,4.62,1.96,0.029,0.44,0.097,3.24,12.76,4.37,3.62,0.26,0.14,110,92.57,Poor,Requires attention
Zhejiang,Hangzhou,Hangzhou_Station_5,42.612972,100.165175,2023-10-23,14.71,6.73,11.91,528.17,3.38,1.4,0.034,0.92,0.061,3.16,13.5,2.55,5.33,0.58,0.07,95,73.79,Poor,High pollution spike detected
Zhejiang,Ningbo,Ningbo_Station_3,40.733635,120.921377,2023-12-30,15.49,7.48,8.77,575.84,2.12,2.82,0.015,0.47,0.027,3.27,30.38,4.94,9.42,0.42,0.03,101,65.39,Excellent,Monitoring recommended
Henan,Zhengzhou,Zhengzhou_Station_9,36.014075,102.045542,2023-10-30,21.99,6.97,7.65,476.87,2.09,2.3,0.007,0.7,0.042,3.13,21.58,4.26,2.42,0.46,0.17,88,19.8,Very Poor,Requires attention
Yunnan,Kunming,Kunming_Station_6,32.690306,116.215967,2023-07-03,18.6,5.77,9.06,481.73,4.13,2.23,0.026,0.49,0.206,2.58,18.41,5.66,4.22,0.48,0.12,101,33.4,Excellent,High pollution spike detected
Shanghai,Shanghai,Shanghai_Station_1,26.47558,102.301124,2023-08-08,17.81,6.64,7.17,299.01,9.39,1.94,0.027,0.23,0.102,3.75,19.68,4.22,5.39,0.71,0.11,100,75.87,Poor,High pollution spike detected
Beijing,Beijing,Beijing_Station_6,20.210757,100.755114,2023-04-29,16.26,6.93,10.48,350.24,1.07,1.77,0.012,0.39,0.082,3.42,22.42,3.86,6.12,0.48,0.11,91,8.52,Excellent,High pollution spike detected
Henan,Zhengzhou,Zhengzhou_Station_2,36.638548,108.295247,2023-05-19,22.18,7.47,7.03,554.44,2.45,2.44,0.023,0.69,0.123,3.9,18.92,4.04,6.58,0.67,0.12,97,52.72,Good,Monitoring recommended
Shandong,Qingdao,Qingdao_Station_4,36.779265,100.114279,2023-09-30,19.99,6.8,8.79,480.63,0.46,2.33,0.019,0.56,0.129,2.2,23.26,3.27,4.52,0.37,0.15,105,46.43,Moderate,Requires attention
Sichuan,Chengdu,Chengdu_Station_1,29.273416,116.184815,2023-08-05,26.87,7.13,7.07,367.77,0.7,2.09,0.013,0.52,0.147,2.96,14.81,5.16,7.78,0.57,0.05,97,80.14,Good,Monitoring recommended
Guangdong,Guangzhou,Guangzhou_Station_2,21.510683,100.357008,2023-07-09,15.51,6.79,7.41,538.36,1.74,2.51,0.032,0.39,0.125,2.57,18.29,2.18,5.72,0.48,0.07,77,67.58,Very Poor,High pollution spike detected
Henan,Zhengzhou,Zhengzhou_Station_5,24.973016,114.229843,2023-12-06,17.94,6.62,7.92,431.53,1.17,1.91,0.012,0.61,-0.005,2.76,21.55,6.1,2.27,0.52,0.13,88,39.58,Poor,Monitoring recommended
Beijing,Beijing,Beijing_Station_10,44.853898,111.4924,2023-01-10,12.95,6.95,5.61,500.28,6.81,1.63,0.022,0.55,0.144,2.87,19.47,2.61,7.9,0.31,0.14,106,10.08,Very Poor,Monitoring recommended
Shanghai,Shanghai,Shanghai_Station_2,23.184482,117.687618,2023-04-20,16.84,7.47,10.97,496.5,3.42,1.89,0.02,0.3,0.109,2.61,24.25,5.14,7.72,0.21,0.14,93,1.28,Excellent,Requires attention
Beijing,Beijing,Beijing_Station_6,38.663303,124.267163,2023-01-30,22.05,6.41,7.01,610.25,5.3,1.64,0.021,0.73,0.123,2.53,28.88,3.71,3.17,0.34,0.03,100,55.27,Excellent,
Shandong,Qingdao,Qingdao_Station_10,41.782753,119.778652,2023-09-27,23.35,6.35,7.19,551.91,3.55,2.42,0.039,0.78,0.033,2.96,18.59,3.6,5.05,0.93,0.11,108,99.06,Good,Requires attention
Sichuan,Chengdu,Chengdu_Station_4,22.922288,116.010892,2023-01-31,11.86,7.63,8.9,345.28,10.67,3.05,0.023,0.25,0.021,3.5,14.79,2.87,3.97,0.7,0.08,107,90.68,Very Poor,High pollution spike detected
Zhejiang,Hangzhou,Hangzhou_Station_5,20.264039,108.690367,2023-08-11,21.27,6.67,11.35,614.42,5.83,1.62,0.027,0.74,0.193,3.09,17.54,3.12,6.96,0.37,0.11,126,6.76,Poor,Monitoring recommended
Yunnan,Dali,Dali_Station_7,44.504184,116.634063,2023-04-13,19.55,6.72,8.5,458.45,11.46,2.37,0.006,0.48,0.076,2.51,16.25,3.11,5.7,0.58,0.14,121,49.54,Good,Monitoring recommended
Sichuan,Mianyang,Mianyang_Station_5,32.554689,101.103985,2023-02-25,26.22,6.53,9.49,506.59,1.36,1.44,0.009,0.05,0.03,2.92,16.38,3.25,5.05,0.62,0.1,100,99.71,Moderate,Requires attention
Beijing,Beijing,Beijing_Station_2,34.820205,121.753686,2023-02-05,18.2,6.14,8.23,479.46,4.12,1.15,0.026,0.74,0.036,2.91,21.38,6.01,9.35,0.25,0.08,119,93.13,Excellent,High pollution spike detected
Henan,Zhengzhou,Zhengzhou_Station_10,32.97979,115.618552,2023-07-13,16.03,7.16,4.5,578.95,2.42,0.99,0.004,0.73,0.136,3.28,18.89,3.96,4.46,0.18,0.13,93,60.17,Good,
Guangdong,Shenzhen,Shenzhen_Station_1,30.43618,110.797788,2023-10-27,14.6,7.71,6.58,533.61,3.16,1.54,0.016,0.79,0.155,2.96,9.22,4.39,5.74,0.31,0.14,107,21.46,Moderate,High pollution spike detected
Hubei,Wuhan,Wuhan_Station_6,34.5708,115.624489,2023-07-31,29.64,7.25,8.93,536.62,4.64,2.58,0.018,0.61,0.18,2.49,16.96,2.34,3.74,0.54,-0.01,89,14.55,Excellent,Monitoring recommended
Guangdong,Guangzhou,Guangzhou_Station_5,32.65925,102.148107,2023-02-20,28.38,6.94,3.51,475.8,3.22,2.61,0.025,0.52,0.128,3.04,28.22,4.75,4.09,0.8,0.19,105,73.19,Very Poor,
Sichuan,Mianyang,Mianyang_Station_9,37.1891,109.071135,2023-05-01,19.16,6.27,8.08,536.53,13.92,2.27,0.03,0.23,0.049,2.54,29.7,4.63,6.45,0.73,0.05,100,41.3,Very Poor,
Jiangsu,Nanjing,Nanjing_Station_7,26.589675,107.180295,2023-01-02,18.6,7.39,6.15,366.99,1.21,1.42,0.021,0.39,0.132,2.51,21.28,3.96,5.79,0.61,0.13,106,10.05,Very Poor,High pollution spike detected
